,phrase,replacements,label,ex,final
253,posted about <post-word>,"{""post-word"": ""honey""}",post,"{""post.text"": ""honey""}",posted about honey
284,answered <poll-answer> to a poll,"{""poll-answer"": ""'No'""}",poll,{},answered 'No' to a poll
79,replied to <mention>s post,"{""mention"": ""Hoe Griffith'""}",reply,{},replied to Hoe Griffith's post
511,created a not on page contains <post-word>,"{""post-word"": ""'coastal'""}",note,{},created a not on page contains 'coastal'
433,<number> likes of posts,"{""number"": ""5""}",like,{},5 likes of posts
220,answered <poll-answer> in any poll,"{""poll-answer"": ""No""}",poll,{},answered No in any poll
114,the word <post-word> in bio,"{""post-word"": ""'captive'""}",profile,{},the word 'captive' in bio
180,"who's bio contains ""<post-word>""","{""post-word"": ""biplane""}",profile,{},"who's bio contains ""biplane"""
430,<number> post likes,"{""number"": ""5""}",like,{},5 post likes
77,rated page with word <post-word> in text,"{""post-word"": ""'abomination'""}",rate,{},rated page with word 'abomination' in text
315,first name is <first-name>,"{""first-name"": ""Nancie""}",profile,{},first name is Nancie
504,clicked on ads <number> times,"{""number"": ""2""}",ad,{},clicked on ads 2 times
318,<first-name> as the first name,"{""first-name"": ""Nancie""}",profile,{},Nancie as the first name
432,clicked on <post-word> ad,"{""post-word"": ""'escapist'""}",ad,{},clicked on 'escapist' ad
134,liked a <sentiment> post <number> times,"{""sentiment"": ""positive"", ""number"": ""3""}",like,{},liked a positive post 3 times
324,left a vote on <number> polls,"{""number"": ""7""}",poll,{},left a vote on 7 polls
137,created a post with word <post-word> in text,"{""post-word"": ""'easy'""}",post,"{""post.text"": ""\""easy\""""}",created a post with word 'easy' in text
76,liked post written by <mention>,"{""mention"": ""Dolores Cummings""}",like,{},liked post written by Dolores Cummings
454,<number> event attendances,"{""number"": ""4""}",event,{},4 event attendances
84,<number> times left a note on a page,"{""number"": ""9""}",note,{},9 times left a note on a page
481,clicked on ad by <company>,"{""company"": ""'Acsis Inc.'""}",ad,{},clicked on ad by 'Acsis Inc.'
417,replied to posts about <post-word>,"{""post-word"": ""'concussion'""}",reply,{},replied to posts about 'concussion'
45,clicked on ad from <company>,"{""company"": ""'Ablitech Co'""}",ad,{},clicked on ad from 'Ablitech Co'
413,linked <social-network>+ account,"{""social-network"": ""google""}",profile,{},linked google+ account
329,replied to a post by <mention>,"{""mention"": ""Kristin Hansen""}",reply,{},replied to a post by Kristin Hansen
509,connected Google +,{},profile,{},connected Google +
321,saved a note on page containing the word <post-word>,"{""post-word"": ""'concussion'""}",note,{},saved a note on page containing the word 'concussion'
13,liked it <number> times,"{""number"": ""9""}",like,{},liked it 9 times
299,clicked an ad <number> time,"{""number"": ""1""}",ad,{},clicked an ad 1 time
32,downloaed a file from <page-type> page,"{""page-type"": ""exhibitor""}",file,{},downloaed a file from exhibitor page
25,in poll answered <poll-answer>,"{""poll-answer"": ""yes""}",poll,{},in poll answered yes
18,rated any page <number> times,"{""number"": ""four""}",rate,{},rated any page four times
346,attended <number> events,"{""number"": ""0""}",event,{},attended 0 events
501,clicked on <number> ads,"{""number"": ""2""}",ad,{},clicked on 2 ads
221,liked <mention>s content,"{""mention"": ""Caleb Ramirez'""}",like,{},liked Caleb Ramirez's content
469,posted something liked <number> times,"{""number"": ""2""}",post,"{""post.likes_count"": ""2""}",posted something liked 2 times
492,posted a content with <number> likes,"{""number"": ""8""}",post,"{""post.likes_count"": ""8""}",posted a content with 8 likes
362,mentioned <mention> in post,"{""mention"": ""Dorothy Larson""}",post,"{""post.mention"": ""Dorothy Larson""}",mentioned Dorothy Larson in post
364,posts about <mention>,"{""mention"": ""Dorothy Larson""}",post,"{""post.mention"": ""Dorothy Larson""}",posts about Dorothy Larson
217,voted <poll-answer> in any poll,"{""poll-answer"": ""No""}",poll,{},voted No in any poll
442,liked <mention>s post,"{""mention"": ""Clay Arnold'""}",like,{},liked Clay Arnold's post
366,clicks on ads published by <company>,"{""company"": ""'AC Lens'""}",ad,{},clicks on ads published by 'AC Lens'
87,downloaded <number> files,"{""number"": ""5""}",file,{},downloaded 5 files
262,wrote something about <post-word>,"{""post-word"": ""honey""}",post,"{""post.text"": ""honey""}",wrote something about honey
411,n't like the event,{},profile,{},n't like the event
310,left at least one like on a post with the word <post-word>,"{""post-word"": ""'pragmatic'""}",like,{},left at least one like on a post with the word 'pragmatic'
150,liked posts about <post-word>,"{""post-word"": ""'escapist'""}",like,{},liked posts about 'escapist'
58,phone <phone>,"{""phone"": ""(290) 448-8241""}",profile,{},phone (290) 448-8241
89,clicked on an ad with the word <post-word>,"{""post-word"": ""'big'""}",ad,{},clicked on an ad with the word 'big'
434,clicks on ad which mentioned <post-word>,"{""post-word"": ""'escapist'""}",ad,{},clicks on ad which mentioned 'escapist'
74,n't impressed by the event,{},profile,{},n't impressed by the event
279,made <number> file downloads,"{""number"": ""7""}",file,{},made 7 file downloads
502,rated with <number> stars <page-type>s page,"{""number"": ""2"", ""page-type"": ""speaker'""}",rate,{},rated with 2 stars speaker's page
